epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,444.341,1.21364,0.04099,0.04116,0.81058,0.97634,0.85493,0.76546,0.8403,0.5393,0.85958,0.81425,0.88951,0.88773,1.17377,0.02911,0.00342,0.83691,0.95347,0.0015842,0.0015842,0.0015842
44,454.554,1.20615,0.04034,0.03919,0.8063,0.96801,0.87826,0.73551,0.82236,0.50912,0.88576,0.77793,0.87651,0.87542,1.2221,0.03038,0.00544,0.85429,0.96369,0.0015743,0.0015743,0.0015743
45,464.892,1.19786,0.03767,0.0426,0.79177,0.97819,0.8523,0.75756,0.83847,0.52975,0.87805,0.78438,0.88581,0.88324,1.19842,0.03052,0.00937,0.84231,0.96911,0.0015644,0.0015644,0.0015644
46,475.071,1.19347,0.03721,0.04295,0.77791,0.96284,0.85988,0.77235,0.84155,0.54122,0.88814,0.80587,0.89373,0.89221,1.20491,0.02707,0.00558,0.81911,0.9621,0.0015545,0.0015545,0.0015545
47,485.328,1.18901,0.038,0.04592,0.77542,0.96064,0.86098,0.74162,0.82956,0.53124,0.85651,0.81703,0.88652,0.88338,1.22256,0.02946,0.00716,0.82692,0.97445,0.0015446,0.0015446,0.0015446
48,495.566,1.17724,0.03805,0.04374,0.77462,0.96513,0.85848,0.73708,0.82999,0.53498,0.85909,0.78911,0.88449,0.88212,1.19337,0.02785,0.00577,0.8456,0.96246,0.0015347,0.0015347,0.0015347
49,505.811,1.15507,0.0351,0.04007,0.75362,0.95775,0.84188,0.81057,0.85568,0.54475,0.86509,0.83291,0.90279,0.90044,1.18504,0.02729,0.00391,0.7638,0.95219,0.0015248,0.0015248,0.0015248
50,515.943,1.18225,0.03767,0.04124,0.76348,0.97037,0.84603,0.75976,0.83469,0.53157,0.85144,0.81425,0.89151,0.88873,1.20154,0.02565,0.00393,0.7952,0.96734,0.0015149,0.0015149,0.0015149
51,526.136,1.14477,0.03636,0.03967,0.74925,0.95709,0.88023,0.75698,0.83664,0.53534,0.90418,0.78771,0.88765,0.88567,1.19555,0.02778,0.00413,0.83301,0.95361,0.001505,0.001505,0.001505
52,536.393,1.17202,0.03605,0.04339,0.76485,0.96107,0.87509,0.75,0.83326,0.52709,0.88892,0.78212,0.88782,0.8847,1.21793,0.02846,0.0055,0.83927,0.96772,0.0014951,0.0014951,0.0014951
53,546.598,1.14884,0.03758,0.03992,0.74802,0.95381,0.84184,0.78057,0.84749,0.54277,0.86575,0.8106,0.89531,0.89192,1.16217,0.02883,0.00524,0.77659,0.95443,0.0014852,0.0014852,0.0014852
54,556.615,1.14599,0.03545,0.04097,0.74922,0.95966,0.86034,0.77654,0.8404,0.53467,0.87281,0.81285,0.89009,0.88681,1.20838,0.0281,0.00629,0.82239,0.96502,0.0014753,0.0014753,0.0014753
55,566.812,1.16775,0.03422,0.03553,0.75277,0.95257,0.86931,0.76178,0.84438,0.53244,0.87808,0.80471,0.89039,0.88748,1.19952,0.02765,0.00558,0.80584,0.96362,0.0014654,0.0014654,0.0014654
56,576.953,1.14562,0.03338,0.04131,0.73932,0.94778,0.85159,0.75279,0.82945,0.52799,0.85959,0.7919,0.87467,0.87234,1.17491,0.02717,0.0048,0.90145,0.95866,0.0014555,0.0014555,0.0014555
57,587.233,1.13606,0.03543,0.04126,0.72894,0.94325,0.85538,0.78492,0.85941,0.55263,0.8794,0.81006,0.90206,0.8987,1.16428,0.02626,0.00673,0.78155,0.95287,0.0014456,0.0014456,0.0014456
58,597.474,1.11542,0.03318,0.03737,0.72767,0.92836,0.8624,0.76676,0.84412,0.55134,0.87241,0.80447,0.89761,0.89515,1.16232,0.02614,0.00371,0.78345,0.95122,0.0014357,0.0014357,0.0014357
59,607.52,1.13367,0.035,0.04069,0.73012,0.95148,0.8462,0.79146,0.83515,0.54194,0.88051,0.82402,0.89527,0.89284,1.17916,0.02686,0.00471,0.81625,0.95322,0.0014258,0.0014258,0.0014258
