json_name,image_name,image_width,image_height,num_boxes,num_points,num_matched,num_unmatched_boxes,num_unused_points,num_multi_point_boxes,num_expanded_matches,num_conflict_unmatched
IMG_20251113_163044_tile_r1_c1.json,IMG_20251113_163044_tile_r1_c1.jpg,2048,1536,35,32,24,11,8,8,0,1
IMG_20251113_163048_tile_r0_c0.json,IMG_20251113_163048_tile_r0_c0.jpg,2048,1536,37,36,29,8,7,8,0,0
IMG_20251113_163048_tile_r0_c1.json,IMG_20251113_163048_tile_r0_c1.jpg,2048,1536,35,38,31,4,7,7,0,0
IMG_20251113_163048_tile_r1_c0.json,IMG_20251113_163048_tile_r1_c0.jpg,2048,1536,54,53,48,6,5,15,0,3
IMG_20251113_163048_tile_r1_c1.json,IMG_20251113_163048_tile_r1_c1.jpg,2048,1536,40,38,36,4,2,6,0,1
IMG_20251113_163053_tile_r0_c0.json,IMG_20251113_163053_tile_r0_c0.jpg,2048,1536,49,46,40,9,6,10,0,4
IMG_20251113_163053_tile_r0_c1.json,IMG_20251113_163053_tile_r0_c1.jpg,2048,1536,41,40,35,6,5,13,0,0
IMG_20251113_163053_tile_r1_c0.json,IMG_20251113_163053_tile_r1_c0.jpg,2048,1536,51,50,43,8,7,18,1,3
IMG_20251113_163053_tile_r1_c1.json,IMG_20251113_163053_tile_r1_c1.jpg,2048,1536,42,42,35,7,7,15,0,2
IMG_20251113_163055_tile_r0_c0.json,IMG_20251113_163055_tile_r0_c0.jpg,2048,1536,43,38,35,8,3,13,0,0
IMG_20251113_163055_tile_r0_c1.json,IMG_20251113_163055_tile_r0_c1.jpg,2048,1536,28,31,25,3,6,10,0,1
IMG_20251113_163055_tile_r1_c0.json,IMG_20251113_163055_tile_r1_c0.jpg,2048,1536,39,38,33,6,5,14,0,1
IMG_20251113_163055_tile_r1_c1.json,IMG_20251113_163055_tile_r1_c1.jpg,2048,1536,33,34,27,6,7,8,0,2
IMG_20251113_163059_tile_r0_c0.json,IMG_20251113_163059_tile_r0_c0.jpg,2048,1536,34,44,29,5,15,12,0,2
IMG_20251113_163059_tile_r0_c1.json,IMG_20251113_163059_tile_r0_c1.jpg,2048,1536,44,47,41,3,6,12,0,1
IMG_20251113_163059_tile_r1_c0.json,IMG_20251113_163059_tile_r1_c0.jpg,2048,1536,32,35,28,4,7,6,0,0
IMG_20251113_163059_tile_r1_c1.json,IMG_20251113_163059_tile_r1_c1.jpg,2048,1536,33,39,32,1,7,9,0,0
IMG_20251113_163101_tile_r0_c0.json,IMG_20251113_163101_tile_r0_c0.jpg,2048,1536,35,38,30,5,8,13,0,2
IMG_20251113_163101_tile_r0_c1.json,IMG_20251113_163101_tile_r0_c1.jpg,2048,1536,32,36,27,5,9,6,0,0
IMG_20251113_163101_tile_r1_c0.json,IMG_20251113_163101_tile_r1_c0.jpg,2048,1536,31,37,31,0,6,4,0,0
IMG_20251113_163101_tile_r1_c1.json,IMG_20251113_163101_tile_r1_c1.jpg,2048,1536,16,22,15,1,7,4,0,0
IMG_20251113_163104_tile_r0_c0.json,IMG_20251113_163104_tile_r0_c0.jpg,2048,1536,32,33,29,3,4,6,0,1
IMG_20251113_163104_tile_r0_c1.json,IMG_20251113_163104_tile_r0_c1.jpg,2048,1536,32,26,26,6,0,5,0,1
IMG_20251113_163104_tile_r1_c0.json,IMG_20251113_163104_tile_r1_c0.jpg,2048,1536,34,38,28,6,10,7,0,0
IMG_20251113_163104_tile_r1_c1.json,IMG_20251113_163104_tile_r1_c1.jpg,2048,1536,38,40,33,5,7,15,0,1
IMG_20251113_163109_tile_r0_c0.json,IMG_20251113_163109_tile_r0_c0.jpg,2048,1536,19,19,16,3,3,2,0,1
IMG_20251113_163109_tile_r0_c1.json,IMG_20251113_163109_tile_r0_c1.jpg,2048,1536,28,24,23,5,1,6,0,1
IMG_20251113_163109_tile_r1_c0.json,IMG_20251113_163109_tile_r1_c0.jpg,2048,1536,33,41,31,2,10,9,0,1
IMG_20251113_163109_tile_r1_c1.json,IMG_20251113_163109_tile_r1_c1.jpg,2048,1536,22,25,21,1,4,4,0,0
IMG_20251113_163111_tile_r0_c0.json,IMG_20251113_163111_tile_r0_c0.jpg,2048,1536,31,35,26,5,9,10,0,1
IMG_20251113_163111_tile_r0_c1.json,IMG_20251113_163111_tile_r0_c1.jpg,2048,1536,20,25,17,3,8,5,0,0
IMG_20251113_163111_tile_r1_c0.json,IMG_20251113_163111_tile_r1_c0.jpg,2048,1536,36,32,29,7,3,16,0,1
IMG_20251113_163111_tile_r1_c1.json,IMG_20251113_163111_tile_r1_c1.jpg,2048,1536,34,28,26,8,2,5,0,1
IMG_20251113_163112_tile_r0_c0.json,IMG_20251113_163112_tile_r0_c0.jpg,2048,1536,24,22,20,4,2,6,0,0
IMG_20251113_163112_tile_r0_c1.json,IMG_20251113_163112_tile_r0_c1.jpg,2048,1536,29,26,22,7,4,9,0,1
IMG_20251113_163112_tile_r1_c0.json,IMG_20251113_163112_tile_r1_c0.jpg,2048,1536,28,27,24,4,3,8,0,1
IMG_20251113_163112_tile_r1_c1.json,IMG_20251113_163112_tile_r1_c1.jpg,2048,1536,31,25,21,10,4,7,0,2
IMG_20251113_163115_tile_r0_c0.json,IMG_20251113_163115_tile_r0_c0.jpg,2048,1536,40,31,30,10,1,13,0,0
IMG_20251113_163115_tile_r0_c1.json,IMG_20251113_163115_tile_r0_c1.jpg,2048,1536,32,24,21,11,3,9,0,2
IMG_20251113_163115_tile_r1_c0.json,IMG_20251113_163115_tile_r1_c0.jpg,2048,1536,31,28,27,4,1,7,0,1
IMG_20251113_163115_tile_r1_c1.json,IMG_20251113_163115_tile_r1_c1.jpg,2048,1536,24,19,16,8,3,4,0,1
IMG_20251113_163116_tile_r0_c0.json,IMG_20251113_163116_tile_r0_c0.jpg,2048,1536,25,22,20,5,2,6,0,2
IMG_20251113_163116_tile_r0_c1.json,IMG_20251113_163116_tile_r0_c1.jpg,2048,1536,28,32,28,0,4,8,0,0
IMG_20251113_163116_tile_r1_c0.json,IMG_20251113_163116_tile_r1_c0.jpg,2048,1536,26,27,25,1,2,10,0,0
IMG_20251113_163116_tile_r1_c1.json,IMG_20251113_163116_tile_r1_c1.jpg,2048,1536,21,22,18,3,4,4,0,1
IMG_20251113_163118_tile_r0_c0.json,IMG_20251113_163118_tile_r0_c0.jpg,2048,1536,23,22,18,5,4,6,0,1
IMG_20251113_163118_tile_r0_c1.json,IMG_20251113_163118_tile_r0_c1.jpg,2048,1536,14,14,10,4,4,3,0,1
IMG_20251113_163118_tile_r1_c0.json,IMG_20251113_163118_tile_r1_c0.jpg,2048,1536,20,25,18,2,7,6,0,0
IMG_20251113_163118_tile_r1_c1.json,IMG_20251113_163118_tile_r1_c1.jpg,2048,1536,22,28,21,1,7,13,0,1
IMG_20251113_163128_tile_r0_c0.json,IMG_20251113_163128_tile_r0_c0.jpg,2048,1536,51,43,42,9,1,16,0,1
IMG_20251113_163128_tile_r0_c1.json,IMG_20251113_163128_tile_r0_c1.jpg,2048,1536,58,49,43,15,6,29,1,5
IMG_20251113_163128_tile_r1_c0.json,IMG_20251113_163128_tile_r1_c0.jpg,2048,1536,55,50,46,9,4,23,0,2
IMG_20251113_163128_tile_r1_c1.json,IMG_20251113_163128_tile_r1_c1.jpg,2048,1536,62,58,51,11,7,29,0,7
IMG_20251113_163144_tile_r0_c0.json,IMG_20251113_163144_tile_r0_c0.jpg,2048,1536,11,18,7,4,11,3,0,0
IMG_20251113_163144_tile_r0_c1.json,IMG_20251113_163144_tile_r0_c1.jpg,2048,1536,6,15,5,1,10,0,0,0
IMG_20251113_163144_tile_r1_c0.json,IMG_20251113_163144_tile_r1_c0.jpg,2048,1536,6,13,6,0,7,2,0,0
IMG_20251113_163144_tile_r1_c1.json,IMG_20251113_163144_tile_r1_c1.jpg,2048,1536,8,13,6,2,7,3,0,0
IMG_20251113_163152_tile_r0_c0.json,IMG_20251113_163152_tile_r0_c0.jpg,2048,1536,5,8,5,0,3,0,0,0
IMG_20251113_163152_tile_r0_c1.json,IMG_20251113_163152_tile_r0_c1.jpg,2048,1536,3,11,3,0,8,1,0,0
IMG_20251113_163152_tile_r1_c0.json,IMG_20251113_163152_tile_r1_c0.jpg,2048,1536,5,5,3,2,2,0,0,0
IMG_20251113_163152_tile_r1_c1.json,IMG_20251113_163152_tile_r1_c1.jpg,2048,1536,4,7,4,0,3,1,0,0
IMG_20251113_163155_tile_r0_c0.json,IMG_20251113_163155_tile_r0_c0.jpg,2048,1536,6,8,5,1,3,2,0,0
IMG_20251113_163155_tile_r0_c1.json,IMG_20251113_163155_tile_r0_c1.jpg,2048,1536,3,9,3,0,6,0,0,0
IMG_20251113_163155_tile_r1_c0.json,IMG_20251113_163155_tile_r1_c0.jpg,2048,1536,5,6,5,0,1,1,0,0
IMG_20251113_163155_tile_r1_c1.json,IMG_20251113_163155_tile_r1_c1.jpg,2048,1536,0,5,0,0,5,0,0,0
IMG_20251113_163157_tile_r0_c0.json,IMG_20251113_163157_tile_r0_c0.jpg,2048,1536,5,6,4,1,2,0,0,0
IMG_20251113_163157_tile_r0_c1.json,IMG_20251113_163157_tile_r0_c1.jpg,2048,1536,1,6,1,0,5,0,0,0
IMG_20251113_163157_tile_r1_c0.json,IMG_20251113_163157_tile_r1_c0.jpg,2048,1536,2,8,2,0,6,0,0,0
