epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,880.426,1.35732,0.04447,0.05257,1.07976,1.27248,0.784,0.75024,0.78903,0.47063,0.80764,0.78212,0.84059,0.83866,1.309,0.03074,0.00478,1.01642,1.26008,0.0014456,0.0014456,0.0014456
58,895.217,1.35723,0.04184,0.04908,1.07492,1.26733,0.79098,0.74522,0.77952,0.46453,0.81438,0.7721,0.83173,0.83005,1.32024,0.03196,0.00334,1.01749,1.25518,0.0014357,0.0014357,0.0014357
59,910.139,1.3736,0.04371,0.04912,1.093,1.2954,0.78921,0.7514,0.80057,0.47797,0.81837,0.79919,0.8545,0.85299,1.27921,0.02811,0.00558,0.98316,1.24124,0.0014258,0.0014258,0.0014258
60,925.144,1.36128,0.04402,0.04416,1.06888,1.27702,0.79027,0.7095,0.77481,0.44304,0.82869,0.76343,0.84581,0.84349,1.33672,0.02856,0.00276,1.01672,1.27254,0.0014159,0.0014159,0.0014159
61,939.973,1.3762,0.04366,0.05469,1.07125,1.2871,0.78446,0.73704,0.77859,0.4598,0.81479,0.78647,0.84449,0.84243,1.30123,0.02916,0.00397,0.98753,1.24266,0.001406,0.001406,0.001406
62,954.937,1.35744,0.04479,0.04839,1.07609,1.2773,0.78875,0.74022,0.78642,0.47069,0.83339,0.78212,0.85266,0.85,1.28335,0.02817,0.00658,0.98585,1.2401,0.0013961,0.0013961,0.0013961
63,969.879,1.33549,0.0435,0.04642,1.06024,1.25271,0.80089,0.7486,0.7929,0.47712,0.83193,0.79609,0.85405,0.85185,1.28332,0.02882,0.00309,0.99056,1.24281,0.0013862,0.0013862,0.0013862
64,984.798,1.34345,0.0433,0.05074,1.06895,1.27369,0.80472,0.73045,0.78939,0.47156,0.81922,0.79469,0.85528,0.85405,1.26071,0.02814,0.0037,0.99385,1.23549,0.0013763,0.0013763,0.0013763
65,999.636,1.32646,0.04207,0.04459,1.03064,1.24862,0.81089,0.73464,0.80747,0.48508,0.83763,0.76676,0.85889,0.85777,1.27227,0.02821,0.0029,0.95798,1.22378,0.0013664,0.0013664,0.0013664
66,1014.61,1.34176,0.04298,0.05327,1.04628,1.26426,0.7994,0.69413,0.75265,0.45383,0.81302,0.74697,0.81465,0.81218,1.33124,0.03063,0.00371,1.08738,1.24984,0.0013565,0.0013565,0.0013565
67,1029.44,1.32918,0.0419,0.04795,1.03747,1.24887,0.80379,0.73235,0.79021,0.47413,0.82716,0.78352,0.848,0.84616,1.30377,0.0296,0.00461,0.97715,1.23801,0.0013466,0.0013466,0.0013466
68,1044.29,1.32764,0.04189,0.05139,1.03988,1.25359,0.80217,0.7486,0.79973,0.4921,0.83017,0.7905,0.86621,0.86497,1.26187,0.02784,0.00442,0.96725,1.22648,0.0013367,0.0013367,0.0013367
69,1059.19,1.31547,0.04133,0.0459,1.02348,1.23517,0.78228,0.74721,0.78966,0.48617,0.81738,0.78073,0.84123,0.83931,1.24821,0.02896,0.00411,1.04609,1.21782,0.0013268,0.0013268,0.0013268
70,1074.12,1.32968,0.04268,0.0495,1.06053,1.25802,0.799,0.7486,0.81486,0.49532,0.82763,0.78771,0.87021,0.8686,1.22995,0.02707,0.00347,0.94312,1.20921,0.0013169,0.0013169,0.0013169
71,1089.04,1.32169,0.03936,0.04352,1.01447,1.2487,0.81121,0.73045,0.79854,0.48481,0.82288,0.78212,0.85395,0.85258,1.24389,0.02945,0.00339,0.96508,1.22448,0.001307,0.001307,0.001307
72,1103.92,1.3287,0.04258,0.04917,1.0508,1.25833,0.8284,0.7484,0.82219,0.49438,0.83222,0.7967,0.87729,0.8755,1.26075,0.02744,0.00432,0.93228,1.21656,0.0012971,0.0012971,0.0012971
73,1119.24,1.29241,0.0401,0.0525,1.01763,1.22439,0.81152,0.73743,0.79938,0.4849,0.82024,0.80447,0.85781,0.85597,1.2548,0.02852,0.00567,0.98135,1.22424,0.0012872,0.0012872,0.0012872
74,1134.18,1.32228,0.04201,0.05107,1.02347,1.24176,0.80081,0.73324,0.78749,0.47931,0.82201,0.77401,0.84865,0.8472,1.23756,0.02837,0.00464,1.045,1.22266,0.0012773,0.0012773,0.0012773
