epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,712.806,1.43398,0.05177,0.05424,0.9966,1.11777,0.78624,0.65084,0.74236,0.42471,0.82725,0.69555,0.80777,0.8043,1.42698,0.0419,0.00216,1.0227,1.09757,0.0014357,0.0014357,0.0014357
59,725.363,1.48575,0.05655,0.0585,1.00579,1.16627,0.80267,0.68715,0.75579,0.4329,0.8245,0.71522,0.81593,0.81437,1.37666,0.03691,0.0034,0.91899,1.08109,0.0014258,0.0014258,0.0014258
60,738.111,1.48106,0.05529,0.04878,1.00051,1.14314,0.81074,0.67318,0.75885,0.43985,0.83429,0.71229,0.81927,0.81814,1.3783,0.03611,0.00297,0.94348,1.08179,0.0014159,0.0014159,0.0014159
61,750.683,1.45695,0.05267,0.05853,0.98884,1.15064,0.78664,0.67971,0.74809,0.42706,0.81954,0.72346,0.81643,0.8147,1.39646,0.0378,0.00472,0.96348,1.09494,0.001406,0.001406,0.001406
62,763.236,1.45139,0.0558,0.04801,0.99154,1.14118,0.81419,0.70379,0.76709,0.45189,0.82953,0.75838,0.83692,0.83509,1.36108,0.03391,0.00238,0.92266,1.09093,0.0013961,0.0013961,0.0013961
63,775.692,1.44537,0.05299,0.04876,0.98397,1.12327,0.80833,0.7068,0.77446,0.44987,0.8423,0.73464,0.83843,0.837,1.37133,0.03549,0.00256,0.92713,1.08652,0.0013862,0.0013862,0.0013862
64,788.263,1.45262,0.05236,0.05892,0.99764,1.14116,0.80749,0.70251,0.76999,0.45322,0.8368,0.73603,0.83643,0.83512,1.34098,0.03488,0.0041,0.90249,1.07258,0.0013763,0.0013763,0.0013763
65,800.747,1.42206,0.05154,0.05,0.96865,1.12059,0.79053,0.70112,0.75592,0.44379,0.83329,0.73743,0.8275,0.82665,1.33151,0.03581,0.00404,0.8934,1.06556,0.0013664,0.0013664,0.0013664
66,813.005,1.42492,0.05196,0.05313,0.9628,1.12396,0.78466,0.71249,0.76149,0.4362,0.80217,0.76816,0.82366,0.82216,1.37107,0.03615,0.00191,0.96034,1.06825,0.0013565,0.0013565,0.0013565
67,825.401,1.41217,0.05135,0.05181,0.94491,1.1169,0.79952,0.69972,0.77288,0.44717,0.84752,0.73743,0.8416,0.8393,1.37764,0.03529,0.00367,0.91146,1.08076,0.0013466,0.0013466,0.0013466
68,837.972,1.41662,0.04887,0.05589,0.95897,1.12325,0.8129,0.71089,0.78451,0.46002,0.85828,0.7514,0.84973,0.84862,1.31955,0.03373,0.00712,0.89283,1.06963,0.0013367,0.0013367,0.0013367
69,850.419,1.41525,0.04986,0.05057,0.96166,1.10991,0.81354,0.71229,0.77327,0.44913,0.81597,0.74309,0.8301,0.82789,1.3567,0.03523,0.00285,0.89791,1.06961,0.0013268,0.0013268,0.0013268
70,863.069,1.42665,0.0536,0.05947,0.98802,1.12854,0.78404,0.68715,0.76593,0.43584,0.82012,0.73464,0.82972,0.82755,1.4061,0.03635,0.00219,0.99614,1.07834,0.0013169,0.0013169,0.0013169
71,875.691,1.40391,0.0476,0.04569,0.94635,1.10692,0.75217,0.67397,0.73308,0.41082,0.78527,0.72067,0.79223,0.7885,1.39528,0.04164,0.00147,1.04715,1.07474,0.001307,0.001307,0.001307
72,888.232,1.44358,0.05214,0.052,0.97633,1.1359,0.81328,0.70391,0.77393,0.45245,0.82365,0.7486,0.83394,0.83189,1.33262,0.03539,0.00269,0.91364,1.06421,0.0012971,0.0012971,0.0012971
