epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,572.902,1.27537,0.04062,0.04143,0.83825,0.99095,0.88044,0.74052,0.84807,0.53489,0.86283,0.79069,0.88705,0.88607,1.26585,0.03072,0.00399,0.81638,0.96956,0.0016436,0.0016436,0.0016436
38,588.42,1.25353,0.03972,0.03556,0.82628,0.96864,0.8236,0.76294,0.82355,0.52801,0.86602,0.80168,0.88431,0.88219,1.28719,0.02976,0.00351,0.87661,0.97829,0.0016337,0.0016337,0.0016337
39,604.149,1.2519,0.04238,0.04504,0.83611,0.96579,0.85891,0.77374,0.83612,0.52899,0.88743,0.80447,0.89362,0.89136,1.28933,0.02712,0.00333,0.83948,0.96099,0.0016238,0.0016238,0.0016238
40,619.807,1.24468,0.04048,0.04283,0.83494,0.97581,0.8533,0.76366,0.84255,0.53055,0.85807,0.8106,0.88882,0.88491,1.20954,0.02808,0.00489,0.83516,0.95287,0.0016139,0.0016139,0.0016139
41,635.369,1.24641,0.03758,0.04319,0.82174,0.97181,0.79753,0.7922,0.83504,0.5272,0.83004,0.81704,0.88222,0.88007,1.2813,0.02763,0.00382,0.86395,0.9672,0.001604,0.001604,0.001604
42,656.306,1.23667,0.03976,0.04391,0.81737,0.97746,0.83479,0.77629,0.83346,0.52817,0.86317,0.80179,0.88456,0.88259,1.2329,0.02612,0.00305,0.80281,0.96511,0.0015941,0.0015941,0.0015941
43,677.866,1.22644,0.04123,0.03893,0.82427,0.97276,0.81895,0.79469,0.84169,0.53922,0.82228,0.84218,0.88858,0.88684,1.21084,0.02708,0.00379,0.77579,0.95234,0.0015842,0.0015842,0.0015842
44,699.476,1.22001,0.04069,0.04161,0.82162,0.96205,0.84192,0.74581,0.8204,0.52771,0.86119,0.77119,0.8741,0.87216,1.25205,0.02807,0.00449,0.85058,0.96268,0.0015743,0.0015743,0.0015743
45,722.258,1.2327,0.03931,0.04469,0.82819,0.9766,0.84346,0.78352,0.84061,0.53776,0.8566,0.80923,0.89043,0.8887,1.21111,0.02779,0.0035,0.80899,0.95667,0.0015644,0.0015644,0.0015644
46,744.425,1.22343,0.03817,0.04299,0.8004,0.95822,0.85744,0.77283,0.83595,0.53299,0.87039,0.83475,0.90176,0.89999,1.22216,0.02631,0.00271,0.84924,0.9553,0.0015545,0.0015545,0.0015545
47,759.822,1.21925,0.03745,0.04259,0.80767,0.95924,0.82179,0.75978,0.8081,0.50476,0.83736,0.79469,0.8598,0.85663,1.26186,0.03065,0.00375,0.98181,0.96448,0.0015446,0.0015446,0.0015446
48,771.23,1.19665,0.03873,0.0417,0.79709,0.96055,0.84544,0.7514,0.82413,0.53283,0.86664,0.78962,0.87962,0.8774,1.22932,0.0297,0.00432,0.84149,0.94775,0.0015347,0.0015347,0.0015347
49,782.581,1.19046,0.0357,0.03772,0.78541,0.9611,0.83964,0.77517,0.83608,0.53273,0.87761,0.82121,0.89454,0.8927,1.24472,0.02799,0.00437,0.81097,0.95176,0.0015248,0.0015248,0.0015248
50,794.743,1.20455,0.03853,0.04206,0.78905,0.96863,0.86364,0.7784,0.84389,0.54424,0.88998,0.80214,0.89317,0.89131,1.21481,0.02872,0.00369,0.77927,0.95634,0.0015149,0.0015149,0.0015149
51,807.273,1.1863,0.03633,0.04047,0.78263,0.95811,0.85837,0.78073,0.84644,0.54228,0.88373,0.81145,0.89531,0.89336,1.21976,0.02746,0.00305,0.75898,0.95463,0.001505,0.001505,0.001505
52,819.318,1.19119,0.03479,0.04276,0.7842,0.96296,0.82365,0.78212,0.83823,0.54651,0.84211,0.81196,0.88807,0.88679,1.1985,0.0281,0.00553,0.79158,0.94112,0.0014951,0.0014951,0.0014951
53,831.887,1.17002,0.0387,0.04421,0.77189,0.95398,0.8511,0.76637,0.84288,0.5486,0.85764,0.81983,0.89185,0.88889,1.18834,0.02689,0.00233,0.84041,0.95192,0.0014852,0.0014852,0.0014852
54,844.081,1.17293,0.03611,0.04035,0.78612,0.95712,0.86334,0.74995,0.84103,0.53506,0.85833,0.80587,0.88798,0.88576,1.22104,0.02689,0.00442,0.84978,0.96296,0.0014753,0.0014753,0.0014753
55,855.929,1.18003,0.03539,0.0333,0.78723,0.94622,0.87713,0.76816,0.84675,0.54958,0.90402,0.78911,0.89492,0.89189,1.19256,0.02495,0.00487,0.77992,0.94627,0.0014654,0.0014654,0.0014654
56,867.905,1.16092,0.03374,0.03859,0.75606,0.94127,0.84767,0.76165,0.84407,0.53351,0.86668,0.79899,0.89326,0.89018,1.24155,0.02694,0.00287,0.84325,0.9554,0.0014555,0.0014555,0.0014555
57,879.754,1.18913,0.03584,0.04489,0.77784,0.95147,0.82715,0.7686,0.84873,0.54959,0.86526,0.80866,0.89969,0.89818,1.19173,0.02623,0.00321,0.80755,0.94489,0.0014456,0.0014456,0.0014456
58,891.574,1.16466,0.0326,0.03801,0.76456,0.93442,0.86069,0.74206,0.82509,0.53763,0.85962,0.81983,0.89449,0.89211,1.20464,0.02571,0.00198,0.81239,0.9517,0.0014357,0.0014357,0.0014357
59,903.328,1.15932,0.03342,0.03875,0.76283,0.95142,0.81575,0.80447,0.83751,0.54211,0.85477,0.83939,0.89762,0.89491,1.19703,0.02533,0.0035,0.80202,0.95056,0.0014258,0.0014258,0.0014258
60,915.168,1.15681,0.03543,0.03607,0.75234,0.9403,0.85746,0.77514,0.83186,0.53943,0.87393,0.8036,0.88563,0.88272,1.20755,0.02578,0.00228,0.85232,0.9463,0.0014159,0.0014159,0.0014159
61,926.886,1.16742,0.03336,0.04067,0.75962,0.94953,0.86639,0.76078,0.85227,0.55805,0.85054,0.8266,0.89988,0.89858,1.19398,0.02698,0.00421,0.76716,0.95084,0.001406,0.001406,0.001406
62,938.841,1.12719,0.03319,0.03446,0.74449,0.93679,0.85924,0.76816,0.84358,0.54698,0.8853,0.80168,0.89957,0.89697,1.20079,0.02633,0.00393,0.75866,0.95409,0.0013961,0.0013961,0.0013961
63,950.927,1.13971,0.03193,0.03552,0.75433,0.93299,0.84828,0.75745,0.83669,0.55143,0.88372,0.7933,0.88913,0.88728,1.16321,0.02798,0.00563,0.78465,0.94876,0.0013862,0.0013862,0.0013862
64,962.695,1.15493,0.03557,0.04171,0.76136,0.94821,0.85932,0.7933,0.85307,0.5494,0.89327,0.81823,0.90225,0.9005,1.18102,0.02517,0.00511,0.78707,0.94904,0.0013763,0.0013763,0.0013763
65,974.733,1.14135,0.03443,0.03803,0.73783,0.9384,0.84925,0.77895,0.84468,0.55737,0.87039,0.81599,0.89611,0.89477,1.16522,0.02461,0.00378,0.76695,0.9423,0.0013664,0.0013664,0.0013664
66,986.398,1.14331,0.03385,0.04253,0.74748,0.94009,0.83144,0.79888,0.8401,0.54452,0.85852,0.83101,0.89371,0.89153,1.20457,0.02809,0.00267,0.80874,0.9475,0.0013565,0.0013565,0.0013565
67,998.022,1.12847,0.03363,0.03914,0.72972,0.93156,0.86401,0.78973,0.85068,0.55215,0.89015,0.81704,0.9017,0.90033,1.23226,0.02555,0.00502,0.76139,0.9539,0.0013466,0.0013466,0.0013466
68,1009.78,1.12812,0.03254,0.03863,0.7311,0.93462,0.86925,0.77654,0.84811,0.56187,0.89235,0.80587,0.90268,0.90063,1.16349,0.02409,0.00356,0.73441,0.93423,0.0013367,0.0013367,0.0013367
69,1021.59,1.11876,0.03247,0.03577,0.72661,0.92671,0.85857,0.77654,0.84661,0.54931,0.89242,0.81425,0.90035,0.89847,1.21438,0.0274,0.00225,0.81077,0.96022,0.0013268,0.0013268,0.0013268
70,1033.22,1.14043,0.03366,0.03983,0.75873,0.9367,0.85842,0.75419,0.83815,0.54735,0.87957,0.77528,0.88755,0.88562,1.20799,0.02541,0.00514,0.84681,0.9516,0.0013169,0.0013169,0.0013169
71,1044.79,1.11358,0.03216,0.03633,0.72497,0.93013,0.82502,0.81145,0.86191,0.5667,0.83924,0.84358,0.90216,0.90109,1.15505,0.02489,0.00371,0.73346,0.9378,0.001307,0.001307,0.001307
72,1056.36,1.1263,0.03364,0.03786,0.74007,0.93854,0.84456,0.78911,0.84348,0.54935,0.86997,0.81285,0.89208,0.89061,1.17129,0.02444,0.00404,0.77356,0.9535,0.0012971,0.0012971,0.0012971
73,1068.16,1.11184,0.03231,0.04273,0.72378,0.92241,0.85891,0.78771,0.83945,0.5516,0.88063,0.81844,0.89539,0.89346,1.17592,0.02507,0.0048,0.76073,0.95532,0.0012872,0.0012872,0.0012872
74,1080.41,1.11221,0.03514,0.0392,0.73193,0.92723,0.83308,0.8086,0.84157,0.54708,0.85835,0.83799,0.89708,0.89467,1.17852,0.02409,0.00214,0.7977,0.95347,0.0012773,0.0012773,0.0012773
75,1094.6,1.10157,0.03103,0.0356,0.71522,0.93233,0.84673,0.78771,0.85305,0.56433,0.86808,0.80874,0.89812,0.89648,1.14829,0.02395,0.00278,0.74476,0.9449,0.0012674,0.0012674,0.0012674
76,1109.01,1.11209,0.03064,0.03638,0.72548,0.92215,0.85057,0.80028,0.85539,0.56019,0.87774,0.82542,0.90798,0.90531,1.16245,0.02341,0.00304,0.75255,0.94357,0.0012575,0.0012575,0.0012575
77,1122.4,1.09557,0.03101,0.03429,0.72851,0.91857,0.82984,0.80375,0.84486,0.56103,0.88041,0.83281,0.90368,0.90192,1.18999,0.02399,0.00206,0.76061,0.94893,0.0012476,0.0012476,0.0012476
78,1136.87,1.10267,0.03239,0.03366,0.71391,0.92494,0.87398,0.77492,0.84671,0.56568,0.89887,0.81564,0.90412,0.90132,1.18998,0.0236,0.00453,0.75896,0.94369,0.0012377,0.0012377,0.0012377
79,1151.18,1.10228,0.03304,0.03928,0.71376,0.9219,0.86493,0.80168,0.84928,0.5559,0.88492,0.82542,0.89784,0.89609,1.16249,0.02359,0.00305,0.75871,0.93734,0.0012278,0.0012278,0.0012278
80,1167.75,1.10132,0.0335,0.0398,0.70481,0.92359,0.85639,0.78073,0.84626,0.55686,0.88031,0.8115,0.90021,0.89853,1.17788,0.02452,0.00251,0.77333,0.94764,0.0012179,0.0012179,0.0012179
81,1183.7,1.09247,0.03395,0.03389,0.71671,0.92158,0.85993,0.77793,0.8528,0.56437,0.91103,0.7905,0.90308,0.9017,1.17701,0.02306,0.00236,0.73258,0.94311,0.001208,0.001208,0.001208
82,1197.41,1.10578,0.0301,0.03817,0.72491,0.92806,0.86747,0.76816,0.84422,0.54949,0.8907,0.79669,0.89546,0.89297,1.17878,0.02578,0.00203,0.85859,0.94871,0.0011981,0.0011981,0.0011981
83,1210.81,1.08597,0.03234,0.03617,0.71263,0.92276,0.87231,0.78241,0.85014,0.56903,0.8975,0.80714,0.8976,0.89579,1.14882,0.02372,0.00309,0.7251,0.94447,0.0011882,0.0011882,0.0011882
84,1225.82,1.10692,0.03476,0.04226,0.72424,0.91492,0.86813,0.7723,0.8534,0.57213,0.85051,0.84637,0.90086,0.89963,1.14805,0.02432,0.00353,0.72662,0.93646,0.0011783,0.0011783,0.0011783
85,1242.57,1.07011,0.03094,0.03332,0.69426,0.92473,0.86748,0.77793,0.85302,0.56018,0.85562,0.83939,0.90188,0.90066,1.15602,0.02343,0.00376,0.71984,0.9389,0.0011684,0.0011684,0.0011684
86,1258.18,1.07075,0.03039,0.03815,0.70132,0.9189,0.85865,0.79748,0.85014,0.56112,0.88568,0.84399,0.90816,0.90593,1.13914,0.0218,0.00544,0.73739,0.937,0.0011585,0.0011585,0.0011585
87,1271.11,1.08637,0.03131,0.03345,0.68782,0.91738,0.85163,0.7933,0.84222,0.55976,0.88452,0.82542,0.89847,0.89621,1.17077,0.02505,0.00317,0.80823,0.94534,0.0011486,0.0011486,0.0011486
